Assists,Demos,Goals,MMR,MVP,MyTeamGoals,OtherTeamGoals,Playlist,Points,Ranked,Saves,Shots,Time,Timestamp,Win
0,0,1,815,0,1,6,Hoops,268,1,0,4,1637001826,19:43:46 11/15/21,0
0,0,0,806,0,2,3,Hoops,156,1,1,2,1637002308,19:51:48 11/15/21,0
0,0,2,796,1,3,1,Hoops,394,1,0,3,1637002823,20:00:23 11/15/21,1
0,0,1,805,0,2,3,Hoops,293,1,1,3,1637003305,20:08:25 11/15/21,0
0,0,1,798,0,2,5,Hoops,230,1,1,2,1637003680,20:14:40 11/15/21,0
0,0,0,789,0,0,3,Hoops,127,1,1,1,1637004144,20:22:24 11/15/21,0
1,0,2,780,0,5,4,Hoops,432,1,0,5,1637009382,21:49:42 11/15/21,1
1,0,1,788,0,3,2,Hoops,288,1,0,6,1637009797,21:56:37 11/15/21,1
0,0,0,992,0,1,4,Standard,86,1,0,1,1637010538,22:08:58 11/15/21,0
0,0,0,984,0,1,5,Standard,78,1,0,0,1637011011,22:16:51 11/15/21,0
1,0,1,798,0,4,1,Hoops,346,1,1,1,1637013134,22:52:14 11/15/21,1
0,0,1,806,0,4,2,Hoops,278,1,1,2,1637013589,22:59:49 11/15/21,1
0,0,1,815,0,1,2,Hoops,452,1,4,1,1637014006,23:06:46 11/15/21,0
0,0,1,806,0,4,1,Hoops,228,1,0,3,1637014353,23:12:33 11/15/21,1
1,0,1,815,0,5,2,Hoops,412,1,1,6,1637090732,20:25:32 11/16/21,1
0,0,0,824,0,0,1,Hoops,126,1,0,2,1637107581,01:06:21 11/17/21,0
0,0,3,784,1,3,2,Hoops,453,1,0,2,1637114295,02:58:15 11/17/21,1
0,0,3,793,0,4,1,Hoops,575,1,0,4,1637115369,03:16:09 11/17/21,1
0,0,1,802,0,2,3,Hoops,349,1,1,5,1637115959,03:25:59 11/17/21,0
3,0,1,793,0,5,1,Hoops,375,1,0,3,1637116277,03:31:17 11/17/21,1
0,0,0,1421,0,1,0,Standard,205,0,2,0,1637252452,17:20:52 11/18/21,1
1,0,0,686,0,1,2,Dropshot,694,1,1,46,1637253665,17:41:05 11/18/21,0
0,0,0,946,0,2,3,Standard,160,1,1,2,1637254106,17:48:26 11/18/21,0
1,0,0,929,0,1,2,Standard,330,1,3,1,1637254517,17:55:17 11/18/21,0
1,0,1,913,1,3,1,Standard,361,1,2,1,1637254968,18:02:48 11/18/21,1
0,0,0,929,0,0,3,Standard,32,1,0,0,1637255323,18:08:43 11/18/21,0
0,0,0,799,0,1,2,Rumble,106,1,0,1,1637255746,18:15:46 11/18/21,0
0,0,2,782,0,4,3,Rumble,355,1,1,3,1637256269,18:24:29 11/18/21,1
2,0,0,797,0,3,2,Rumble,262,1,0,2,1637256743,18:32:23 11/18/21,1
1,0,1,812,0,5,0,Rumble,192,1,0,1,1637257025,18:37:05 11/18/21,1
2,0,1,1436,1,3,2,Standard,328,0,0,3,1637257866,18:51:06 11/18/21,1
2,0,1,1045,0,6,5,Doubles,464,1,0,6,1637258771,19:06:11 11/18/21,1
0,0,4,1063,1,4,3,Doubles,935,1,4,4,1637259256,19:14:16 11/18/21,1
0,0,0,792,0,0,5,Hoops,114,1,0,1,1637279590,00:53:10 11/19/21,0
1,0,1,792,0,2,3,Hoops,339,1,1,1,1637281295,01:21:35 11/19/21,0
3,0,1,0,0,5,3,Doubles,511,0,1,4,1637289403,03:36:43 11/19/21,1
0,0,0,1498,0,1,4,Doubles,206,0,1,0,1637289799,03:43:19 11/19/21,0
1,0,0,1080,0,1,4,Doubles,419,1,4,3,1637296684,05:38:04 11/19/21,0
0,0,1,1069,0,1,4,Doubles,300,1,0,3,1637297095,05:44:55 11/19/21,0
0,0,0,1056,0,0,3,Doubles,285,1,3,1,1637297479,05:51:19 11/19/21,0
0,0,1,914,0,1,2,Standard,232,1,1,1,1637298089,06:01:29 11/19/21,0
0,0,0,902,0,1,2,Standard,190,1,2,1,1637298514,06:08:34 11/19/21,0
0,0,0,673,0,2,1,Dropshot,332,1,2,5,1637299000,06:16:40 11/19/21,1
0,0,1,1482,0,1,4,Standard,208,0,0,1,1637299735,06:28:55 11/19/21,0
0,0,4,1465,0,7,5,Heatseeker Ricochet,844,0,3,10,1637300276,06:37:56 11/19/21,1
0,0,2,668,0,5,2,Snow Day,368,1,0,2,1637300895,06:48:15 11/19/21,1
1,0,0,1467,0,2,4,Standard,218,0,1,1,1637301384,06:56:24 11/19/21,0
1,0,0,1452,0,5,0,Standard,144,0,0,2,1637301815,07:03:35 11/19/21,1
1,0,0,1466,0,2,1,Standard,134,0,0,0,1637302270,07:11:10 11/19/21,1
0,0,2,890,0,4,0,Standard,308,1,0,3,1637302686,07:18:06 11/19/21,1
0,0,0,906,0,4,3,Standard,207,1,2,0,1637303331,07:28:51 11/19/21,1
1,0,0,923,0,4,3,Standard,170,1,1,0,1637303911,07:38:31 11/19/21,1
1,0,1,762,0,2,5,Hoops,437,1,2,5,1637308258,08:50:58 11/19/21,0
0,0,1,1476,0,4,3,Heatseeker Ricochet,315,0,2,2,1637309419,09:10:19 11/19/21,1
1,0,0,939,0,2,4,Standard,126,1,0,1,1637310346,09:25:46 11/19/21,0
0,0,1,747,0,4,0,Hoops,162,1,0,1,1637311178,09:39:38 11/19/21,1
0,0,2,748,0,5,2,Hoops,278,1,0,2,1637311734,09:48:54 11/19/21,1
1,0,4,761,1,6,3,Hoops,737,1,2,5,1637312308,09:58:28 11/19/21,1
0,0,0,1478,0,0,2,Standard,8,0,0,0,1637358133,22:42:13 11/19/21,0
0,0,0,763,0,0,8,Hoops,48,1,0,1,1637364506,00:28:26 11/20/21,0
0,0,1,751,0,1,2,Hoops,256,1,0,4,1637364903,00:35:03 11/20/21,0
2,0,0,738,0,2,4,Hoops,276,1,0,4,1637366139,00:55:39 11/20/21,0
2,0,1,725,0,5,1,Hoops,332,1,0,3,1637366431,01:00:31 11/20/21,1
0,0,1,738,0,2,3,Hoops,528,1,3,2,1637366964,01:09:24 11/20/21,0
0,0,1,727,0,3,6,Hoops,178,1,0,2,1637367506,01:18:26 11/20/21,0
0,0,0,917,0,1,0,Standard,46,1,0,0,1637372792,02:46:32 11/20/21,1
1,0,0,930,0,1,2,Standard,203,1,1,0,1637375484,03:31:24 11/20/21,0
0,0,0,918,0,0,2,Standard,174,1,2,0,1637375855,03:37:35 11/20/21,0
0,0,1,905,0,2,4,Standard,328,1,2,1,1637376458,03:47:38 11/20/21,0
0,0,1,894,0,1,4,Standard,148,1,0,1,1637380768,04:59:28 11/20/21,0
0,0,1,1464,0,6,5,Heatseeker Ricochet,504,0,4,7,1637382728,05:32:08 11/20/21,1
1,0,0,682,0,3,1,Snow Day,168,1,1,0,1637383279,05:41:19 11/20/21,1
0,0,0,699,0,1,2,Snow Day,32,1,0,0,1637383742,05:49:02 11/20/21,0
0,0,0,874,0,3,2,Standard,138,1,0,1,1637385279,06:14:39 11/20/21,1
0,0,0,886,0,2,1,Standard,248,1,0,3,1637390015,07:33:35 11/20/21,1
0,0,0,901,0,1,3,Standard,96,1,0,0,1637391959,08:05:59 11/20/21,0
0,0,0,891,0,3,4,Standard,102,1,0,0,1637393305,08:28:25 11/20/21,0
0,0,1,872,0,3,2,Standard,341,1,1,4,1637643626,06:00:26 11/23/21,1
0,0,0,883,0,0,1,Standard,323,1,3,2,1637644815,06:20:15 11/23/21,0
1,0,0,865,0,3,1,Standard,166,1,0,0,1637645296,06:28:16 11/23/21,1
1,0,0,876,0,2,1,Standard,412,1,3,1,1637645811,06:36:51 11/23/21,1
0,0,0,885,0,0,2,Standard,236,1,1,2,1637646347,06:45:47 11/23/21,0
1,0,0,877,0,2,1,Standard,212,1,0,1,1637646791,06:53:11 11/23/21,1
1,0,0,878,0,1,2,Standard,389,1,3,2,1637647726,07:08:46 11/23/21,0
0,0,2,827,0,2,3,Rumble,390,1,1,3,1637648461,07:21:01 11/23/21,0
0,0,2,1471,1,3,2,Doubles,664,0,5,3,1637681635,16:33:55 11/23/21,1
2,0,0,600,0,2,5,Tournament Match,304,1,1,3,1637683798,17:09:58 11/23/21,0
0,0,1,600,0,1,5,Tournament Match,264,1,1,2,1637684531,17:22:11 11/23/21,0
0,0,0,1029,0,2,4,Doubles,200,1,1,0,1637698648,21:17:28 11/23/21,0
0,0,0,1031,0,1,4,Doubles,252,1,1,1,1637700197,21:43:17 11/23/21,0
1,0,0,763,0,2,4,Hoops,190,1,0,0,1637702690,22:24:50 11/23/21,0
0,0,1,753,0,5,2,Hoops,208,1,0,2,1637703179,22:32:59 11/23/21,1
0,0,1,763,0,1,2,Hoops,445,1,1,5,1637703868,22:44:28 11/23/21,0
1,0,1,989,0,4,3,Doubles,462,1,2,4,1637708872,00:07:52 11/24/21,1
1,0,0,1004,0,3,1,Doubles,102,1,0,1,1637709073,00:11:13 11/24/21,1
1,0,0,1017,0,4,1,Doubles,150,1,0,0,1637711258,00:47:38 11/24/21,1
3,0,0,1007,0,3,2,Doubles,522,1,3,2,1637711696,00:54:56 11/24/21,1
1,0,1,1020,0,3,2,Doubles,433,1,1,2,1637712190,01:03:10 11/24/21,1
1,0,0,1033,0,1,3,Doubles,325,1,1,1,1637712603,01:10:03 11/24/21,0
0,0,0,753,0,1,2,Hoops,180,1,0,4,1637713369,01:22:49 11/24/21,0
1,0,1,743,0,3,0,Hoops,280,1,0,2,1637713750,01:29:10 11/24/21,1
1,0,1,753,0,4,3,Hoops,425,1,1,7,1637714236,01:37:16 11/24/21,1
1,0,3,762,1,5,0,Hoops,489,1,0,2,1637715033,01:50:33 11/24/21,1
2,0,0,771,0,2,3,Hoops,254,1,0,4,1637715506,01:58:26 11/24/21,0
0,0,0,869,0,1,2,Standard,241,1,2,1,1637716280,02:11:20 11/24/21,0
0,0,0,860,0,2,4,Standard,74,1,1,0,1637716709,02:18:29 11/24/21,0
0,0,1,851,0,3,2,Standard,272,1,1,2,1637717171,02:26:11 11/24/21,1
0,0,2,861,0,5,1,Standard,408,1,1,3,1637717638,02:33:58 11/24/21,1
0,0,0,870,0,1,2,Standard,264,1,2,0,1637718039,02:40:39 11/24/21,0
0,0,1,861,1,2,1,Standard,328,1,2,2,1637718430,02:47:10 11/24/21,1
0,0,0,869,0,1,2,Standard,362,1,3,1,1637718858,02:54:18 11/24/21,0
1,0,2,1467,1,4,1,Doubles,532,0,2,2,1637720369,03:19:29 11/24/21,1
1,0,4,1480,0,5,3,Doubles,745,0,1,5,1637720828,03:27:08 11/24/21,0
0,0,0,762,0,2,1,Hoops,112,1,0,2,1637722573,03:56:13 11/24/21,1
0,0,2,763,0,5,0,Hoops,324,1,0,3,1637722791,03:59:51 11/24/21,1
0,0,0,772,0,1,3,Hoops,192,1,1,1,1637723243,04:07:23 11/24/21,0
0,0,1,1464,1,2,0,Doubles,488,0,4,1,1637723710,04:15:10 11/24/21,1
2,0,1,1010,1,3,0,Doubles,339,1,0,2,1637724002,04:20:02 11/24/21,1
0,0,0,1023,0,1,2,Doubles,245,1,2,1,1637724393,04:26:33 11/24/21,0
0,0,1,813,0,4,1,Rumble,194,1,1,1,1637725840,04:50:40 11/24/21,1
1,0,1,683,0,3,2,Snow Day,264,1,0,3,1637726529,05:02:09 11/24/21,1
1,0,0,679,0,1,3,Dropshot,502,1,0,37,1637726958,05:09:18 11/24/21,0
0,0,1,650,0,1,2,Dropshot,612,1,1,34,1637727363,05:16:03 11/24/21,0
0,0,0,764,0,0,1,Hoops,211,1,1,3,1637727773,05:22:53 11/24/21,0
0,0,3,754,1,3,0,Hoops,435,1,0,3,1637728029,05:27:09 11/24/21,1
1,0,4,763,0,8,2,Hoops,713,1,1,4,1637728734,05:38:54 11/24/21,1
1,0,1,772,0,4,3,Hoops,276,1,0,3,1637729201,05:46:41 11/24/21,1
1,0,0,780,0,3,0,Hoops,164,1,0,3,1637732997,06:49:57 11/24/21,1
0,0,2,778,1,2,0,Hoops,410,1,1,3,1637733487,06:58:07 11/24/21,1
0,0,4,787,1,7,5,Hoops,741,1,2,6,1637734051,07:07:31 11/24/21,1
0,0,0,796,0,0,3,Hoops,180,1,2,2,1637734471,07:14:31 11/24/21,0
3,0,1,788,0,5,6,Hoops,519,1,1,5,1637735059,07:24:19 11/24/21,0
1,0,0,778,0,1,1,Hoops,118,1,1,0,1637735570,07:32:50 11/24/21,0
1,0,0,1465,0,2,0,Doubles,220,0,1,2,1637750476,11:41:16 11/24/21,1
1,0,3,987,1,5,3,Doubles,731,1,1,6,1637753343,12:29:03 11/24/21,1
0,0,0,999,0,3,2,Doubles,320,1,1,1,1637754063,12:41:03 11/24/21,1
0,0,3,1010,0,4,2,Doubles,495,1,0,3,1637754524,12:48:44 11/24/21,1
0,0,0,768,0,2,4,Hoops,174,1,1,1,1637776610,18:56:50 11/24/21,0
0,0,1,760,0,3,5,Hoops,314,1,1,4,1637777098,19:04:58 11/24/21,0
1,0,2,1478,0,4,1,Doubles,396,0,0,5,1637781949,20:25:49 11/24/21,1
0,0,0,1021,0,0,1,Doubles,203,1,1,1,1637782314,20:31:54 11/24/21,0
0,0,4,751,1,4,3,Hoops,789,1,1,5,1637784811,21:13:31 11/24/21,1
0,0,1,761,0,1,3,Hoops,254,1,0,2,1637785236,21:20:36 11/24/21,0
0,0,1,744,0,3,5,Hoops,392,1,2,2,1637865702,19:41:42 11/25/21,0
0,0,1,735,0,2,1,Hoops,284,1,0,4,1637866278,19:51:18 11/25/21,1
1,0,1,744,0,2,4,Hoops,392,1,1,4,1637869051,20:37:31 11/25/21,0
0,0,0,1490,0,0,3,Doubles,46,0,0,1,1637869242,20:40:42 11/25/21,0
0,0,0,996,0,0,1,Tournament Match,100,1,1,1,1637878010,23:06:50 11/25/21,0
2,0,0,996,0,3,2,Tournament Match,476,1,3,1,1637879027,23:23:47 11/25/21,1
0,0,1,996,0,4,0,Tournament Match,344,1,2,1,1637879445,23:30:45 11/25/21,1
0,0,0,996,0,0,4,Tournament Match,268,1,2,1,1637880031,23:40:31 11/25/21,0
1,0,0,736,0,5,2,Hoops,194,1,0,2,1637880551,23:49:11 11/25/21,1
0,0,0,744,0,1,2,Hoops,110,1,0,2,1637882558,00:22:38 11/26/21,0
0,0,1,736,0,4,3,Hoops,313,1,1,3,1637883044,00:30:44 11/26/21,1
1,0,0,745,0,2,1,Hoops,284,1,1,1,1637883503,00:38:23 11/26/21,1
3,0,3,754,1,6,2,Hoops,730,1,1,2,1637883929,00:45:29 11/26/21,1
2,0,3,764,1,5,2,Hoops,697,1,0,3,1637884380,00:53:00 11/26/21,1
0,0,0,773,0,1,0,Hoops,182,1,1,0,1637885229,01:07:09 11/26/21,1
1,0,1,782,0,3,0,Hoops,357,1,1,5,1637885591,01:13:11 11/26/21,1
0,0,2,792,0,4,2,Hoops,430,1,0,4,1637887223,01:40:23 11/26/21,1
1,0,1,800,0,2,0,Hoops,208,1,0,1,1637887965,01:52:45 11/26/21,1
1,0,1,818,0,2,0,Hoops,336,1,0,4,1637888369,01:59:29 11/26/21,1
0,0,2,826,0,3,8,Hoops,374,1,0,3,1637888907,02:08:27 11/26/21,0
1,0,1,818,0,2,3,Hoops,308,1,0,4,1637889608,02:20:08 11/26/21,0
2,0,2,810,1,4,1,Hoops,542,1,0,4,1637890023,02:27:03 11/26/21,1
1,0,0,818,0,1,4,Hoops,194,1,0,4,1637890495,02:34:55 11/26/21,0
0,0,1,809,0,4,2,Hoops,272,1,0,4,1637891005,02:43:25 11/26/21,1
0,0,1,1001,0,1,3,Doubles,308,1,0,3,1637893145,03:19:05 11/26/21,0
2,0,3,990,0,5,2,Doubles,689,1,1,4,1637894398,03:39:58 11/26/21,1
2,0,1,991,0,5,0,Doubles,390,1,1,6,1637894682,03:44:42 11/26/21,1
1,0,0,1001,0,3,2,Doubles,413,1,3,1,1637895126,03:52:06 11/26/21,1
1,0,1,1011,0,3,2,Doubles,368,1,1,1,1637895568,03:59:28 11/26/21,1
1,0,2,1020,0,5,0,Doubles,342,1,0,2,1637895785,04:03:05 11/26/21,1
1,0,3,1029,0,5,4,Doubles,634,1,0,7,1637896261,04:11:01 11/26/21,1
1,0,1,818,0,2,4,Hoops,318,1,1,1,1637907133,07:12:13 11/26/21,0
0,0,0,809,0,1,2,Hoops,217,1,1,4,1637908596,07:36:36 11/26/21,0
0,0,3,1475,0,4,3,Doubles,633,0,1,6,1637941629,16:47:09 11/26/21,1
1,0,1,1484,0,3,0,Doubles,281,0,1,2,1637941807,16:50:07 11/26/21,1
0,0,0,850,0,2,0,Standard,128,1,1,1,1637949415,18:56:55 11/26/21,1
1,0,0,1015,0,3,4,Tournament Match,136,1,0,0,1637950127,19:08:47 11/26/21,0
1,0,0,994,0,4,0,Tournament Match,158,1,1,0,1637950962,19:22:42 11/26/21,1
0,0,1,994,0,1,3,Tournament Match,284,1,1,2,1637951465,19:31:05 11/26/21,0
2,0,2,859,1,5,1,Standard,430,1,0,2,1637952460,19:47:40 11/26/21,1
1,0,1,869,0,2,3,Standard,395,1,2,2,1637952907,19:55:07 11/26/21,0
0,0,0,861,0,1,2,Standard,56,1,0,0,1637953293,20:01:33 11/26/21,0
0,0,2,800,0,3,1,Hoops,288,1,0,1,1637959040,21:37:20 11/26/21,1
0,0,2,808,0,3,5,Hoops,398,1,0,4,1637959551,21:45:51 11/26/21,0
1,0,1,790,0,3,2,Hoops,398,1,0,6,1638560428,20:40:28 12/03/21,1
0,0,1,800,0,1,2,Hoops,322,1,0,4,1638561638,21:00:38 12/03/21,0
1,0,2,784,0,5,0,Hoops,559,1,1,3,1638561966,21:06:06 12/03/21,1
1,0,5,791,1,7,3,Hoops,867,1,0,9,1638728556,19:22:36 12/05/21,1
2,0,2,800,0,4,1,Hoops,426,1,0,3,1638728861,19:27:41 12/05/21,1
1,0,3,809,1,4,2,Hoops,651,1,0,7,1638729303,19:35:03 12/05/21,1
1,0,1,818,0,3,4,Hoops,351,1,1,1,1638730174,19:49:34 12/05/21,0
0,0,2,1029,0,3,4,Doubles,471,1,1,4,1639220382,11:59:42 12/11/21,0
2,0,1,1019,0,4,2,Doubles,370,1,0,4,1639221226,12:13:46 12/11/21,1
0,0,2,1019,0,3,5,Doubles,564,1,2,4,1639221653,12:20:53 12/11/21,0
1,0,3,803,0,6,3,Hoops,758,1,1,7,1639263195,23:53:15 12/11/21,1
